zip,Year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",State,City,Metro,CountyName,HomePrice
99714,2022,2.0,32.0,0.0,0.0,0.0,8.0,48.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,AK,Salcha,"Fairbanks, AK",Fairbanks North Star Borough,200701.1376864817
35214,2022,800.0,7538.0,10.0,264.0,0.0,848.0,1076.0,3586.0,0.0,2.0,70.0,248.0,2.0,0.0,0.0,1734.0,796.0,0.0,88.0,78.0,20.0,2.0,44.0,116.0,1820.0,542.0,0.0,0.0,346.0,744.0,6.0,AL,Forestdale,"Birmingham-Hoover, AL",Jefferson County,141848.62442317654
35020,2022,88.0,1686.0,4.0,36.0,0.0,104.0,134.0,382.0,0.0,0.0,16.0,46.0,0.0,0.0,0.0,422.0,70.0,0.0,14.0,10.0,0.0,0.0,2.0,36.0,172.0,166.0,0.0,0.0,36.0,66.0,0.0,AL,Bessemer,"Birmingham-Hoover, AL",Jefferson County,71234.39997309867
35213,2022,0.0,408.0,0.0,6.0,0.0,0.0,138.0,158.0,0.0,0.0,22.0,12.0,0.0,0.0,0.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,4.0,12.0,0.0,AL,Mountain Brook,"Birmingham-Hoover, AL",Jefferson County,705799.8900266549
35217,2022,20.0,394.0,0.0,18.0,0.0,28.0,24.0,54.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,8.0,18.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,42.0,14.0,0.0,0.0,4.0,0.0,0.0,AL,Tarrant,"Birmingham-Hoover, AL",Jefferson County,84417.72930661887
35209,2022,6.0,964.0,0.0,0.0,0.0,16.0,32.0,40.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,18.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,6.0,0.0,0.0,0.0,4.0,0.0,AL,Homewood,"Birmingham-Hoover, AL",Jefferson County,461115.1830919778
35216,2022,36.0,1418.0,0.0,0.0,0.0,12.0,262.0,500.0,0.0,10.0,24.0,36.0,0.0,0.0,0.0,484.0,236.0,0.0,6.0,4.0,2.0,0.0,6.0,4.0,266.0,22.0,0.0,0.0,12.0,64.0,2.0,AL,Vestavia Hills,"Birmingham-Hoover, AL",Jefferson County,369581.0854756904
35210,2022,16.0,308.0,0.0,6.0,0.0,12.0,6.0,172.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,10.0,0.0,0.0,6.0,6.0,0.0,AL,Irondale,"Birmingham-Hoover, AL",Jefferson County,252691.43169859247
35127,2022,8.0,550.0,0.0,8.0,0.0,4.0,12.0,74.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,16.0,10.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,36.0,22.0,0.0,0.0,2.0,34.0,0.0,AL,Pleasant Grove,"Birmingham-Hoover, AL",Jefferson County,220502.95919913705
35205,2022,18.0,224.0,2.0,4.0,0.0,62.0,12.0,20.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,22.0,0.0,10.0,0.0,2.0,0.0,0.0,2.0,22.0,2.0,0.0,0.0,8.0,2.0,0.0,AL,Birmingham,"Birmingham-Hoover, AL",Jefferson County,217615.0403134825
35215,2022,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,Center Point,"Birmingham-Hoover, AL",Jefferson County,155345.0079095897
35173,2022,0.0,62.0,0.0,2.0,0.0,0.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,2.0,2.0,0.0,AL,Trussville,"Birmingham-Hoover, AL",Jefferson County,359571.22748729965
36608,2022,166.0,1578.0,8.0,68.0,0.0,52.0,66.0,410.0,0.0,4.0,30.0,38.0,0.0,0.0,0.0,122.0,124.0,0.0,34.0,12.0,0.0,2.0,16.0,6.0,652.0,54.0,0.0,0.0,70.0,72.0,2.0,AL,Mobile,"Mobile, AL",Mobile County,214856.31647636663
36606,2022,692.0,1914.0,2.0,448.0,0.0,534.0,102.0,1782.0,0.0,0.0,48.0,140.0,0.0,0.0,0.0,1370.0,808.0,0.0,100.0,70.0,2.0,0.0,18.0,186.0,2012.0,220.0,0.0,0.0,292.0,702.0,2.0,AL,Mobile,"Mobile, AL",Mobile County,124442.81142562082
36610,2022,16.0,96.0,0.0,6.0,0.0,4.0,4.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,16.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,96.0,10.0,0.0,0.0,14.0,10.0,0.0,AL,Prichard,"Mobile, AL",Mobile County,28055.44143271249
36522,2022,10.0,132.0,0.0,2.0,0.0,6.0,12.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,20.0,0.0,2.0,4.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,8.0,2.0,0.0,AL,Citronelle,"Mobile, AL",Mobile County,155877.96760518252
36571,2022,12.0,1398.0,0.0,8.0,0.0,6.0,74.0,116.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,106.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,10.0,0.0,0.0,12.0,20.0,0.0,AL,Saraland,"Mobile, AL",Mobile County,208022.19712809715
36116,2022,82.0,864.0,0.0,20.0,0.0,12.0,110.0,36.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,28.0,18.0,0.0,10.0,0.0,4.0,0.0,2.0,10.0,58.0,20.0,0.0,0.0,30.0,34.0,0.0,AL,Montgomery,"Montgomery, AL",Montgomery County,124855.2645447192
36067,2022,60.0,2314.0,0.0,20.0,0.0,86.0,202.0,262.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,330.0,144.0,0.0,10.0,14.0,42.0,0.0,6.0,8.0,252.0,26.0,0.0,0.0,44.0,46.0,0.0,AL,Prattville,"Montgomery, AL",Autauga County,204424.17621284828
36507,2022,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,Bay Minette,"Daphne-Fairhope-Foley, AL",Baldwin County,202681.57301110745
36551,2022,262.0,5244.0,8.0,76.0,0.0,274.0,1228.0,1930.0,0.0,4.0,30.0,106.0,0.0,0.0,0.0,946.0,1450.0,0.0,24.0,2.0,2.0,0.0,12.0,24.0,852.0,102.0,0.0,0.0,156.0,110.0,4.0,AL,Loxley,"Daphne-Fairhope-Foley, AL",Baldwin County,264462.7786607848
36526,2022,14.0,1470.0,0.0,14.0,0.0,28.0,290.0,250.0,0.0,0.0,18.0,16.0,0.0,0.0,0.0,128.0,116.0,0.0,8.0,4.0,2.0,0.0,2.0,8.0,142.0,8.0,0.0,0.0,26.0,10.0,0.0,AL,Daphne,"Daphne-Fairhope-Foley, AL",Baldwin County,303681.2355000504
36016,2022,32.0,492.0,0.0,26.0,0.0,40.0,102.0,140.0,0.0,0.0,12.0,26.0,0.0,0.0,0.0,54.0,114.0,0.0,0.0,0.0,6.0,0.0,2.0,8.0,138.0,26.0,0.0,0.0,38.0,42.0,0.0,AL,Clayton,"Eufaula, AL-GA",Barbour County,109103.24983781182
35042,2022,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,Centreville,"Birmingham-Hoover, AL",Bibb County,183959.72568192528
35184,2022,24.0,532.0,0.0,10.0,0.0,24.0,132.0,72.0,0.0,0.0,4.0,18.0,0.0,2.0,0.0,118.0,32.0,0.0,4.0,0.0,4.0,0.0,10.0,2.0,114.0,6.0,0.0,0.0,18.0,24.0,4.0,AL,West Blocton,"Birmingham-Hoover, AL",Bibb County,172388.55477176007
35121,2022,36.0,1878.0,0.0,12.0,0.0,20.0,64.0,132.0,0.0,2.0,6.0,12.0,2.0,2.0,0.0,402.0,146.0,0.0,10.0,4.0,18.0,0.0,6.0,8.0,182.0,16.0,0.0,0.0,54.0,6.0,12.0,AL,Oneonta,"Birmingham-Hoover, AL",Blount County,214819.4565373812
36089,2022,12.0,24.0,2.0,2.0,0.0,14.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,10.0,6.0,0.0,AL,Union Springs,,Bullock County,120285.84721942616
36037,2022,16.0,30.0,0.0,4.0,0.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,AL,Greenville,,Butler County,111130.643883137
36277,2022,80.0,2142.0,2.0,60.0,0.0,134.0,204.0,590.0,0.0,10.0,20.0,38.0,0.0,0.0,0.0,828.0,300.0,0.0,50.0,8.0,6.0,0.0,12.0,10.0,420.0,48.0,0.0,0.0,52.0,84.0,4.0,AL,Weaver,"Anniston-Oxford, AL",Calhoun County,152493.36216168766
36265,2022,2.0,22.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,AL,Jacksonville,"Anniston-Oxford, AL",Calhoun County,189291.9590591156
36862,2022,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,Lafayette,"LaGrange, GA-AL",Chambers County,127898.25196625716
35960,2022,36.0,1868.0,2.0,38.0,0.0,14.0,68.0,262.0,0.0,0.0,10.0,40.0,0.0,0.0,0.0,162.0,50.0,0.0,18.0,2.0,18.0,4.0,0.0,2.0,176.0,22.0,0.0,0.0,32.0,6.0,2.0,AL,Centre,,Cherokee County,210297.6784024536
36272,2022,10.0,516.0,0.0,0.0,0.0,2.0,30.0,36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,8.0,4.0,0.0,AL,Piedmont,"Anniston-Oxford, AL",Calhoun County,143833.7174539304
35045,2022,78.0,1418.0,2.0,32.0,0.0,20.0,60.0,440.0,0.0,0.0,6.0,20.0,0.0,2.0,0.0,62.0,94.0,0.0,24.0,8.0,132.0,4.0,6.0,2.0,198.0,12.0,0.0,0.0,38.0,4.0,4.0,AL,Clanton,"Birmingham-Hoover, AL",Chilton County,193670.4027159874
35171,2022,42.0,1272.0,0.0,24.0,0.0,36.0,108.0,332.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0,202.0,120.0,0.0,8.0,2.0,2.0,0.0,6.0,8.0,188.0,4.0,0.0,0.0,4.0,16.0,2.0,AL,Thorsby,"Birmingham-Hoover, AL",Chilton County,215274.37155929548
36451,2022,74.0,688.0,0.0,34.0,0.0,44.0,72.0,238.0,0.0,0.0,8.0,32.0,0.0,0.0,0.0,104.0,52.0,0.0,18.0,0.0,0.0,0.0,6.0,2.0,108.0,16.0,0.0,0.0,20.0,24.0,0.0,AL,Grove Hill,,Clarke County,146163.91739797298
36251,2022,4.0,134.0,0.0,2.0,0.0,16.0,12.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,AL,Ashland,,Clay County,141100.40804393069
36323,2022,98.0,1802.0,4.0,106.0,0.0,80.0,320.0,454.0,0.0,2.0,18.0,72.0,0.0,0.0,0.0,200.0,100.0,0.0,26.0,12.0,10.0,0.0,8.0,4.0,286.0,42.0,0.0,0.0,64.0,32.0,4.0,AL,Elba,"Enterprise, AL",Coffee County,120158.07315322908
35674,2022,66.0,2254.0,2.0,42.0,0.0,32.0,146.0,256.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,114.0,162.0,0.0,10.0,10.0,6.0,0.0,4.0,0.0,204.0,34.0,0.0,0.0,20.0,30.0,0.0,AL,Tuscumbia,"Florence-Muscle Shoals, AL",Colbert County,175634.83434766426
35654,2022,24.0,390.0,0.0,12.0,0.0,30.0,90.0,280.0,0.0,0.0,26.0,8.0,0.0,0.0,0.0,110.0,48.0,0.0,2.0,2.0,14.0,0.0,2.0,0.0,92.0,8.0,0.0,0.0,14.0,4.0,0.0,AL,Russellville,,Franklin County,149075.78694594483
36401,2022,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,Evergreen,,Conecuh County,106593.66952158646
35136,2022,14.0,426.0,2.0,18.0,0.0,12.0,18.0,68.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,18.0,2.0,0.0,4.0,14.0,2.0,0.0,4.0,0.0,52.0,24.0,0.0,0.0,14.0,4.0,0.0,AL,Rockford,"Alexander City, AL",Coosa County,197872.81980491555
36421,2022,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,,,Covington County,201576.9772867522
36420,2022,34.0,1124.0,0.0,20.0,0.0,50.0,66.0,146.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,108.0,78.0,0.0,12.0,0.0,4.0,0.0,2.0,8.0,204.0,24.0,0.0,0.0,38.0,20.0,2.0,AL,,,Covington County,136936.44536705714
36303,2022,408.0,5906.0,16.0,270.0,0.0,124.0,266.0,3288.0,0.0,6.0,80.0,200.0,0.0,0.0,0.0,844.0,530.0,0.0,82.0,38.0,14.0,0.0,50.0,80.0,832.0,214.0,0.0,0.0,174.0,236.0,24.0,AL,Dothan,"Dothan, AL",Houston County,161654.04429131772
36322,2022,2.0,8.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,,"Ozark, AL",Dale County,131309.2466234561
36701,2022,50.0,150.0,6.0,18.0,0.0,32.0,48.0,104.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,34.0,50.0,0.0,4.0,2.0,2.0,0.0,0.0,4.0,124.0,26.0,0.0,0.0,20.0,46.0,0.0,AL,Selma,"Selma, AL",Dallas County,89538.29295660458
35968,2022,8.0,1396.0,2.0,10.0,0.0,6.0,72.0,108.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,24.0,90.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,88.0,6.0,0.0,0.0,18.0,8.0,0.0,AL,Fort Payne,"Fort Payne, AL",De Kalb County,200323.4669831512
35967,2022,10.0,362.0,4.0,8.0,0.0,22.0,140.0,144.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,100.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2.0,0.0,0.0,8.0,0.0,2.0,AL,Fort Payne,"Fort Payne, AL",De Kalb County,166361.39782752693
35989,2022,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,,"Fort Payne, AL",De Kalb County,200686.15896704743
36092,2022,116.0,4726.0,2.0,58.0,0.0,74.0,132.0,1072.0,0.0,6.0,28.0,70.0,0.0,0.0,0.0,536.0,112.0,0.0,18.0,10.0,30.0,0.0,16.0,12.0,378.0,48.0,0.0,0.0,46.0,46.0,12.0,AL,Wetumpka,"Montgomery, AL",Elmore County,204660.265891122
36426,2022,76.0,1150.0,0.0,8.0,0.0,34.0,102.0,422.0,0.0,0.0,4.0,28.0,0.0,0.0,0.0,130.0,90.0,0.0,18.0,0.0,0.0,0.0,4.0,2.0,240.0,14.0,0.0,0.0,38.0,16.0,6.0,AL,,"Atmore, AL",Escambia County,133219.60687923766
35901,2022,0.0,88.0,4.0,2.0,0.0,6.0,4.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,18.0,2.0,0.0,0.0,4.0,0.0,0.0,AL,Gadsden,"Gadsden, AL",Etowah County,146049.0083101823
35954,2022,4.0,546.0,0.0,2.0,0.0,10.0,90.0,100.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,54.0,30.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,36.0,2.0,0.0,0.0,6.0,4.0,0.0,AL,Attalla,"Gadsden, AL",Etowah County,131583.29175960354
35906,2022,2.0,456.0,0.0,6.0,0.0,0.0,26.0,32.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,18.0,26.0,0.0,2.0,0.0,0.0,8.0,0.0,2.0,34.0,4.0,0.0,0.0,2.0,8.0,0.0,AL,Rainbow City,"Gadsden, AL",Etowah County,224575.7353569901
35907,2022,2.0,120.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,AL,Southside,"Gadsden, AL",Etowah County,243599.84675517504
35555,2022,4.0,354.0,0.0,4.0,0.0,10.0,14.0,50.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,46.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,8.0,12.0,0.0,AL,Fayette,,Fayette County,113130.1551053348
35546,2022,0.0,52.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,Berry,,Fayette County,175647.19542936503
35585,2022,26.0,120.0,0.0,16.0,0.0,14.0,58.0,324.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,14.0,56.0,0.0,6.0,2.0,6.0,0.0,8.0,0.0,74.0,10.0,0.0,0.0,0.0,6.0,4.0,AL,Spruce Pine,,Franklin County,
36344,2022,16.0,790.0,2.0,8.0,0.0,32.0,26.0,142.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,10.0,48.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,66.0,14.0,0.0,0.0,10.0,10.0,0.0,AL,Hartford,"Dothan, AL",Geneva County,149733.5636037868
35462,2022,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,AL,Eutaw,"Tuscaloosa, AL",Greene County,
36310,2022,20.0,538.0,0.0,10.0,0.0,8.0,10.0,130.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,18.0,10.0,0.0,6.0,16.0,0.0,0.0,2.0,8.0,84.0,26.0,0.0,0.0,16.0,14.0,0.0,AL,Abbeville,"Dothan, AL",Henry County,142092.93220560564
36345,2022,2.0,420.0,0.0,2.0,0.0,4.0,20.0,76.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,58.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,0.0,0.0,14.0,10.0,0.0,AL,Headland,"Dothan, AL",Henry County,198824.7814357949
36312,2022,0.0,58.0,0.0,0.0,0.0,4.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,4.0,0.0,AL,Ashford,"Dothan, AL",Houston County,160746.6792299423
36343,2022,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,AL,Pansey,"Dothan, AL",Houston County,130226.41420293578
36301,2022,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,AL,Dothan,"Dothan, AL",Houston County,151896.30222971743
35768,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,Scottsboro,"Scottsboro, AL",Jackson County,149691.93472436312
